"","x"
"446","Adrien Sénécat"
"447","Sylvia Zappi"
"448","Patrick Roger"
"449","Laura Motet"
"450","Yann Bouchez"
"451","Anne Michel"
"452","Laura Motet"
"453","Yann Bouchez"
"454","Anne Michel"
"455","Bastien Bonnefous"
"456","Olivier Faye"
"457","Jean-Baptiste Jacquin"
"458","Sarah Belouezzane"
"459","Bertrand Bissuel"
"460","Rafaële Rivais"
"461","Manon Rescan"
"462","Jean-Michel Bezat"
"463","Anne-Sophie Faivre Le Cadre"
"464","Olivier Faye"
"465","Bastien Bonnefous"
"466","Soazig Le Nevé"
"467","Sylvie Kauffmann"
"468","Jean-Baptiste Jacquin"
"469","Benoît Floc'h"
"470","Benoît Floc'h"
"471","Manon Rescan"
"472","Cécile Ducourtieux"
"473","Thomas Wieder"
"474","Bastien Bonnefous"
"475","Bertrand Bissuel"
"476","Philippe Ridet"
"477","Philippe Ridet"
"478","Jean-Pierre Stroobants"
"479","Olivier Faye"
"480","Manon Rescan"
"481","Manon Rescan"
"482","Patrick Roger"
"483","Gérard Courtois"
"484","Manon Rescan"
"485","Olivier Faye"
"486","Lucie Soullier"
"487","Lucie Soullier"
"488","Anne-Aël Durand"
"489","Cécile Ducourtieux"
"490","Sylvia Zappi"
"491","Anne-Aël Durand"
"492","Manon Rescan"
"493","Nicolas Chapuis"
"494","Manon Rescan"
"495","Sylvia Zappi"
"496","Maryline Baumard"
"497","Maryline Baumard"
"498","Raphaëlle Besse Desmoulières"
"499","Bertrand Bissuel"
"500","Philippe Jacqué"
"501","Cédric Pietralunga"
"502","Pierre Bouvier"
"503","Maryline Baumard"
"504","Bastien Bonnefous"
"505","Adrien Sénécat"
"506","Bastien Bonnefous"
"507","Jean-Baptiste Jacquin"
"508","Patrick Roger"
"509","Alexandre Lemarié"
"510","Séverin Graveleau"
"511","Soazig Le Nevé"
"512","Eric Nunès"
"513","Olivier Faye"
"514","Lucie Soullier"
"515","Anne-Sophie Faivre Le Cadre"
"516","Manon Rescan"
"517","Maryline Baumard"
"518","Manon Rescan"
"519","Patrick Roger"
"520","Bastien Bonnefous"
"521","François Bougon"
"522","Alexandre Piquard"
"523","Marc Semo"
"524","Gilles Paris"
"525","Pierre Bouvier"
"526","Rémi Barroux"
"527","Pierre Bouvier"
"528","Pierre Bouvier"
"529","Samuel Laurent"
"530","Anne-Aël Durand"
"531","Adrien Sénécat"
"532","Alexandre Lemarié"
"533","Grégoire Allix"
"534","Abel Mestre"
"535","Sandrine Morel"
"536","Cédric Pietralunga"
"537","Bastien Bonnefous"
"538","Patrick Roger"
"539","Alexandre Lemarié"
"540","Françoise Fressoz"
"541","Manon Rescan"
"542","Nicolas Truong"
"543","Abel Mestre"
"544","Olivier Faye"
"545","Cédric Pietralunga"
"546","Adrien Sénécat"
"547","Audrey Tonnelier"
"548","Cécile Chambraud"
"549","Elise Barthet"
"550","Cédric Pietralunga"
"551","Patrick Roger"
"552","Audrey Tonnelier"
"553","Benoît Floc'h"
"554","Cédric Pietralunga"
"555","Olivier Faye"
"556","Cédric Pietralunga"
"557","Marc-Olivier Bherer"
"558","Marc-Olivier Bherer"
"559","Raphaëlle Besse Desmoulières"
"560","Michel Noblecourt"
"561","Jérémie Lamothe"
"562","Rémi Barroux"
"563","Abel Mestre"
"564","Isabelle Rey-Lefebvre"
"565","Frédéric Joignot"
"566","Isabelle Rey-Lefebvre"
"567","Patrick Roger"
"568","Bertrand Bissuel"
"569","Benoît Floc'h"
"570","Audrey Tonnelier"
"571","Elise Barthet"
"572","Benoît Floc'h"
"573","Audrey Tonnelier"
"574","Abel Mestre"
"575","Lucie Soullier"
"576","Béatrice Jérôme"
"577","Marie Bourreau"
"578","Solenn de Royer"
"579","Patrick Roger"
"580","Gérard Courtois"
"581","Cécile Chambraud"
"582","Rémi Barroux"
"583","Rémi Barroux"
"584","Benoît Floc'h"
"585","Françoise Fressoz"
"586","Olivier Faye"
"587","Cédric Pietralunga"
"588","Sarah Belouezzane"
"589","Alexandre Lemarié"
"590","Cédric Pietralunga"
"591","Anne-Aël Durand"
"592","Anne-Aël Durand"
"593","Anne-Aël Durand"
"594","Anne-Aël Durand"
"595","Cédric Pietralunga"
"596","Solenn de Royer"
"597","Bastien Bonnefous"
"598","Sarah Belouezzane"
"599","Raphaëlle Besse Desmoulières"
"600","Michel Noblecourt"
"601","Solenn de Royer"
"602","Rémi Barroux"
"603","Julia Pascual"
"604","Abel Mestre"
"605","Patrick Roger"
"606","Lucie Soullier"
"607","Olivier Faye"
"608","Alexandre Lemarié"
"609","Abel Mestre"
"610","Olivier Faye"
"611","Alexandre Lemarié"
"612","Mathilde Damgé"
"613","François Bougon"
"614","Alexandre Piquard"
"615","Sarah Belouezzane"
"616","Bertrand Bissuel"
"617","Audrey Tonnelier"
"618","Gérard Courtois"
"619","Pascale Santi"
"620","Sandrine Cabut"
"621","Manon Rescan"
"622","Stéphane Foucart"
"623","Isabelle Mandraud"
"624","Françoise Fressoz"
"625","Mathilde Damgé"
"626","Adrien Sénécat"
"627","Denis Cosnard"
"628","Simon Roger"
"629","Alexandre Lemarié"
"630","Jérémie Baruch"
"631","Bastien Bonnefous"
"632","Patrick Roger"
"633","Louise Couvelaire"
"634","Abel Mestre"
"635","Alexandre Lemarié"
"636","Pierre Breteau"
"637","Adrien Sénécat"
"638","Adrien Sénécat"
"639","Benoît Floc'h"
"640","Isabelle Rey-Lefebvre"
"641","Audrey Tonnelier"
"642","Emeline Cazi"
"643","Olivier Faye"
"644","Lucie Soullier"
"645","Bastien Bonnefous"
"646","Olivier Faye"
"647","Abel Mestre"
"648","Alexandre Lemarié"
"649","Olivier Faye"
"650","Manon Rescan"
"651","Isabelle Rey-Lefebvre"
"652","Raphaëlle Besse Desmoulières"
"653","Manon Rescan"
"654","Béatrice Jérôme"
"655","Cédric Pietralunga"
"656","Adrien Sénécat"
"657","Anne-Aël Durand"
"658","François Bougon"
"659","Bertrand Bissuel"
"660","Maryline Baumard"
"661","Olivier Faye"
"662","Raphaëlle Besse Desmoulières"
"663","Gérard Courtois"
"664","Rémi Barroux"
"665","Philippe Jacqué"
"666","Frédéric Joignot"
"667","Stéphane Foucart"
"668","Patrick Roger"
"669","Patrick Roger"
"670","Olivier Faye"
"671","Bastien Bonnefous"
"672","Alexandre Lemarié"
"673","Fabrice Lhomme"
"674","Olivier Faye"
"675","Vanessa Schneider"
"676","Sarah Belouezzane"
"677","Bertrand Bissuel"
"678","Manon Rescan"
"679","Audrey Tonnelier"
"680","Alexandre Lemarié"
"681","Sylvia Zappi"
"682","Maxime Vaudano"
"683","Pascale Robert-Diard"
"684","Camille Stromboni"
"685","Michel Guerrin"
"686","Vincent Fagot"
"687","Sandrine Cassini"
"688","Fabrice Lhomme"
"689","Gérard Davet"
"690","Audrey Tonnelier"
"691","Jérémie Lamothe"
"692","Olivier Faye"
"693","Manon Rescan"
"694","Cécile Chambraud"
"695","Cécile Bouanchaud"
"696","Olivier Faye"
"697","Cédric Pietralunga"
"698","Bastien Bonnefous"
"699","Adrien Sénécat"
"700","Patrick Roger"
"701","Sarah Belouezzane"
"702","Bertrand Bissuel"
"703","Jean-Baptiste Jacquin"
"704","Raphaëlle Besse Desmoulières"
"705","Patrick Roger"
"706","Adrien Sénécat"
"707","Gaëlle Dupont"
"708","Michel Noblecourt"
"709","Benoît Floc'h"
"710","Cécile Bouanchaud"
"711","Alexandre Lemarié"
"712","Manon Rescan"
"713","Ariane Chemin"
"714","Louise Couvelaire"
"715","Manon Rescan"
"716","Mathilde Damgé"
"717","Alexandre Pouchard"
"718","Pierre Breteau"
"719","Sarah Belouezzane"
"720","Bertrand Bissuel"
"721","Alexandre Lemarié"
"722","Manon Rescan"
"723","Patrick Roger"
"724","Cédric Pietralunga"
"725","Alexandre Lemarié"
"726","Solenn de Royer"
"727","Benoît Floc'h"
"728","Sarah Belouezzane"
"729","Bertrand Bissuel"
"730","Anne-Aël Durand"
"731","Henri Seckel"
"732","Gaïdz Minassian"
"733","Adrien Sénécat"
"734","Olivier Faye"
"735","Cédric Pietralunga"
"736","Olivier Faye"
"737","Béatrice Jérôme"
"738","Soren Seelow"
"739","Simon Piel"
"740","Joan Tilouine"
"741","Raphaëlle Besse Desmoulières"
"742","Jean-Baptiste de Montvalon"
"743","Cédric Pietralunga"
"744","Elise Vincent"
"745","Bastien Bonnefous"
"746","Cécile Ducourtieux"
"747","Jean-Pierre Stroobants"
"748","Jean-Baptiste Jacquin"
"749","Adrien Sénécat"
"750","Françoise Fressoz"
"751","Philippe Escande"
"752","Philippe Escande"
"753","Françoise Fressoz"
"754","Philippe Escande"
"755","Sylvia Zappi"
"756","Raphaëlle Besse Desmoulières"
"757","Benoît Floc'h"
"758","Cédric Pietralunga"
"759","Nicolas Chapuis"
"760","Nicolas Chapuis"
"761","Nicolas Chapuis"
"762","Olivier Faye"
"763","Mathilde Damgé"
"764","Maxime Vaudano"
"765","Jérémie Baruch"
"766","Pierre Breteau"
"767","Anne-Aël Durand"
"768","Jérémie Lamothe"
"769","Simon Piel"
"770","Joan Tilouine"
"771","Matthieu Goar"
"772","Alexandre Piquard"
"773","Jérémie Lamothe"
"774","Alexandre Lemarié"
"775","Raphaëlle Leyris"
"776","Olivier Faye"
"777","Manon Rescan"
"778","Mathilde Damgé"
"779","Bertrand Bissuel"
"780","Anne-Aël Durand"
"781","Jean-Pierre Stroobants"
"782","Pierre Breteau"
"783","Abel Mestre"
"784","Béatrice Jérôme"
"785","Raphaëlle Besse Desmoulières"
"786","Benoît Floc'h"
"787","Audrey Tonnelier"
"788","Cédric Pietralunga"
"789","Bastien Bonnefous"
"790","Nathalie Guibert"
"791","Manon Rescan"
"792","Gaëlle Dupont"
"793","Rémi Barroux"
"794","Marc Semo"
"795","Nicolas Chapuis"
"796","Maxime Vaudano"
"797","Sarah Belouezzane"
"798","Bertrand Bissuel"
"799","Béatrice Jérôme"
"800","Abel Mestre"
"801","Joan Tilouine"
"802","Simon Piel"
"803","Eric Nunès"
"804","Gérard Courtois"
"805","Anne-Aël Durand"
"806","Louise Couvelaire"
"807","Françoise Fressoz"
"808","Patrick Roger"
"809","Olivier Faye"
"810","Manon Rescan"
"811","Raphaëlle Besse Desmoulières"
"812","Bertrand Bissuel"
"813","Sylvia Zappi"
"814","Jean-Pierre Stroobants"
"815","Cécile Chambraud"
"816","Sandrine Blanchard"
"817","Cédric Pietralunga"
"818","Bastien Bonnefous"
"819","Jean-Michel Bezat"
"820","Patrick Roger"
"821","Patrick Roger"
"822","Patrick Roger"
"823","Amaury da Cunha"
"824","Béatrice Jérôme"
"825","Françoise Fressoz"
"826","Alexandre Piquard"
"827","Raphaëlle Besse Desmoulières"
"828","Benoît Floc'h"
"829","Alexandre Lemarié"
"830","Yann Bouchez"
"831","Anne Michel"
"832","Sarah Belouezzane"
"833","Bertrand Bissuel"
"834","Isabelle Rey-Lefebvre"
"835","Yann Bouchez"
"836","Anne Michel"
"837","Nicolas Chapuis"
"838","Olivier Faye"
"839","Lucie Soullier"
"840","Francine Aizicovici"
"841","Anne Chemin"
"842","Solenn de Royer"
"843","Olivier Faye"
"844","Patrick Roger"
"845","Alexandre Lemarié"
"846","Manon Rescan"
"847","Isabelle Rey-Lefebvre"
"848","William Audureau"
"849","Jérémie Baruch"
"850","Isabelle Rey-Lefebvre"
"851","Cédric Pietralunga"
"852","François Bougon"
"853","Jean-Philippe Rémy"
