"","x"
"565","Marion d’Allard, Olivier Chartrain, Sébastien Crépel, Sylvie Ducatteau, Maël Duchemin, Julia Hamlaoui, Kareen Janselme, Lola Ruscio"
"566","Maurice Ulrich"
"567","Maud Vergnol"
"568","Maurice Ulrich"
"569","Audrey Loussouarn"
"570","Olivier Morin"
"571","Maurice Ulrich"
"572","Carnet"
"573","Julia Hamlaoui"
"574","Maël Duchemin"
"575","Paule Masson"
"576","Audrey Loussouarn"
"577","Julia Hamlaoui"
"578","Maël Duchemin"
"579","Maurice Ulrich"
"580","Pierre Duquesne"
"581","Maurice Ulrich"
"582","Pierre Duquesne"
"583","Lionel Venturini"
"584","Aurélien Soucheyre"
"585","Julia Hamlaoui"
"586","Patrick Le Hyaric"
"587","Maurice Ulrich"
"588","Audrey Loussouarn"
"589","Grégory Marin"
"590","Gérard Le Puill"
"591","Jean-Emmanuel Ducoin"
"592","Thomas Lemahieu"
"593","Clotilde Mathieu"
"594","Sébastien Crépel et Julia Hamlaoui"
"595","Maurice Ulrich"
"596","Maurice Ulrich"
"597","Audrey Loussouarn"
"598","Audrey Loussouarn"
"599","Carnet"
"600","Pierre Chaillan"
"601","Michel Guilloux"
"602","Maël Duchemin"
"603","Grégory Marin"
"604","Maurice Ulrich"
"605","Maurice Ulrich"
"606","Camille Bauer"
"607","Audrey Loussouarn"
"608","Gérard Le Puill"
"609","Julia Hamlaoui"
"610","Grégory Marin"
"611","Lionel Venturini"
"612","Maud Vergnol"
"613","Maurice Ulrich"
"614","Pierre Duquesne"
"615","Maurice Ulrich"
"616","Grégory Marin"
"617","Pierre Duquesne"
"618","Julia Hamlaoui"
"619","Julia Hamlaoui"
"620","Lionel Venturini"
"621","Gérard Le Puill"
"622","Lionel Venturini"
"623","Audrey Loussouarn"
"624","Pierre Duquesne"
"625","Gaël De Santis"
"626","Pierre Duquesne"
"627","Julia Hamlaoui"
"628","Aurélien Soucheyre"
"629","Lionel Venturini"
"630","Maurice Ulrich"
"631","Julia Hamlaoui"
"632","Jullia Hamlaoui"
"633","Maurice Ulrich"
"634","Pierre Duquesne"
"635","Maurice Ulrich"
"636","Julia Hamlaoui et Audrey Loussouarn"
"637","Maud Vergnol"
"638","Olivier Morin"
"639","Benjamin Konig"
"640","Benjamin Konig"
"641","Maud Vergnol"
"642","Aurélien Soucheyre"
"643","Pierric Marissal"
"644","Maurice Ulrich"
"645","Grégory Marin"
"646","Lionel Venturini"
"647","Patrick Apel-Muller"
"648","Audrey Loussouarn"
"649","Maurice Ulrich"
"650","Olivier Morin"
"651","Olivier Morin"
"652","Grégory Marin"
"653","Aurélien Soucheyre"
"654","Pierre Duquesne"
"655","Maurice Ulrich"
"656","Maurice Ulrich"
"657","Grégory Marin"
"658","Audrey Loussouarn"
"659","Pierre Duquesne"
"660","Olivier Morin"
"661","Pierre Duquesne"
"662","A.L. et G.M."
"663","Maurice Ulrich"
"664","Maurice Ulrich"
"665","Jean-Jacques Régibier"
"666","Olivier Morin"
"667","Maurice Ulrich"
"668","Audrey Loussouarn"
"669","Olivier Morin"
"670","Olivier Morin"
"671","Olivier Morin"
"672","Grégory Marin"
"673","Grégory Marin"
"674","Aurélien Soucheyre"
"675","Grégory Marin"
"676","Maurice Ulrich"
"677","Maud Vergnol"
"678","Aurélien Soucheyre"
"679","Audrey Loussouarn"
"680","Gérard Le Puill"
"681","Grégory Marin"
"682","Olivier Morin"
"683","Maud Vergnol"
"684","Maurice Ulrich"
"685","Olivier Morin"
"686","Pierre Serna"
"687","Maurice Ulrich"
"688","Lionel Venturini"
"689","Maurice Ulrich"
"690","Paule Masson"
"691","Lionel Venturini"
"692","Thomas Lemahieu"
"693","Lionel Venturini"
"694","Maurice Ulrich"
"695","Pierre Chaillan"
"696","Maurice Ulrich"
"697","Aurélien Soucheyre"
"698","Audrey Loussouarn"
"699","Patrick Le Hyaric"
"700","Olivier Morin"
"701","Jean-Emmanuel Ducoin"
"702","Maurice Ulrich"
"703","Julia Hamlaoui"
"704","Maud Vergnol"
"705","Olivier Morin"
"706","Gérard Le Puill"
"707","Lionel Venturini"
"708","Christophe Deroubaix"
"709","Maurice Ulrich"
"710","Lionel Venturini"
"711","Pierre Duquesne"
"712","Audrey Loussouarn"
"713","Pierre Duquesne"
"714","Julia Hamlaoui"
"715","Audrey Loussouarn"
"716","Pierre Chaillan"
"717","Patrick Apel-Muller"
"718","Aurélien Soucheyre"
"719","Pierre Serna"
"720","Maurice Ulrich"
"721","Maurice Ulrich"
"722","Pierre Duquesne"
"723","Pierre Duquesne"
"724","Julia Hamlaoui"
"725","Olivier Morin"
"726","Paule Masson"
"727","Gérard Le Puill"
"728","Pierre Duquesne"
"729","Blaise Dufal"
"730","Maurice Ulrich"
"731","Maurice Ulrich"
"732","Aurélien Soucheyre"
"733","Julia Hamlaoui"
"734","Maurice Ulrich"
"735","Pierre Duquesne"
"736","Maud Vergnol"
"737","Julia Hamlaoui"
"738","Olivier Morin et Aurélien Soucheyre"
"739","Maurice Ulrich"
"740","Lionel Venturini"
"741","Julia Hamlaoui"
"742","Audrey Loussouarn"
"743","Patrick Apel-Muller"
"744","Pierre Duquesne"
"745","Maurice Ulrich"
"746","Julia Hamlaoui"
"747","Audrey Loussouarn"
"748","Julia Hamlaoui"
"749","Grégory Marin"
"750","Cédric Clérin"
"751","Aurélien Soucheyre"
"752","Maurice Ulrich"
"753","Olivier Morin"
