"","x"
"443","Cédric Pietralunga"
"444","Nicolas Chapuis"
"445","Jean-Baptiste Jacquin"
"446","Béatrice Jérôme"
"447","Nicolas Chapuis"
"448","Virginie Malingre"
"449","Gérard Courtois"
"450","Cédric Pietralunga"
"451","Manon Rescan"
"452","Béatrice Jérôme"
"453","Béatrice Jérôme"
"454","Sarah Belouezzane"
"455","Bertrand Bissuel"
"456","Audrey Tonnelier"
"457","Lucie Soullier"
"458","Audrey Tonnelier"
"459","Benoît Floc'h"
"460","Patrick Roger"
"461","Patrick Roger"
"462","Alexandre Lemarié"
"463","Marie Charrel"
"464","Françoise Fressoz"
"465","Marie de Vergès"
"466","Raphaëlle Besse Desmoulières"
"467","Bertrand Bissuel"
"468","Virginie Malingre"
"469","Cédric Pietralunga"
"470","Manon Rescan"
"471","Alexandre Piquard"
"472","François Bougon"
"473","Alexandre Lemarié"
"474","Cédric Pietralunga"
"475","Abel Mestre"
"476","Philippe Ridet"
"477","Sylvia Zappi"
"478","Benoît Floc'h"
"479","Lucie Soullier"
"480","Lucie Soullier"
"481","Cécile Bouanchaud"
"482","Olivier Faye"
"483","Cécile Ducourtieux"
"484","Charlotte Bozonnet"
"485","Marianne Boyer"
"486","Marie-Béatrice Baudet"
"487","Françoise Fressoz"
"488","Nathalie Guibert"
"489","Abel Mestre"
"490","Virginie Malingre"
"491","Isabelle Rey-Lefebvre"
"492","Christine Rousseau"
"493","Cédric Pietralunga"
"494","Alexandre Lemarié"
"495","Lucie Soullier"
"496","Anne Rodier"
"497","Nicolas Chapuis"
"498","Alexandre Piquard"
"499","Virginie Malingre"
"500","Alexandre Lemarié"
"501","Manon Rescan"
"502","Yann Bouchez"
"503","Denis Cosnard"
"504","Audrey Tonnelier"
"505","Abel Mestre"
"506","Adrien Sénécat"
"507","Virginie Malingre"
"508","Alexandre Lemarié"
"509","Ariane Chemin"
"510","Sarah Belouezzane"
"511","Bertrand Bissuel"
"512","Frédéric Bobin"
"513","Simon Piel"
"514","Joan Tilouine"
"515","Gérard Courtois"
"516","Alexandre Lemarié"
"517","Cédric Pietralunga"
"518","Cédric Pietralunga"
"519","Françoise Fressoz"
"520","Enora Ollivier"
"521","Virginie Malingre"
"522","Cédric Pietralunga"
"523","Cédric Pietralunga"
"524","Simon Roger"
"525","Rémi Barroux"
"526","Patrick Roger"
"527","Jean-Michel Bezat"
"528","Alexandre Lemarié"
"529","Louise Couvelaire"
"530","Cécile Chambraud"
"531","Elise Vincent"
"532","Olivier Faye"
"533","Abel Mestre"
"534","Cédric Pietralunga"
"535","Adrien Pécout"
"536","Cécile Ducourtieux"
"537","Grégoire Allix"
"538","Jérôme Gautheret"
"539","Patrick Roger"
"540","Raphaëlle Besse Desmoulières"
"541","Bertrand Bissuel"
"542","Lucie Soullier"
"543","Olivier Faye"
"544","Lucie Soullier"
"545","Yann Bouchez"
"546","Anne-Aël Durand"
"547","Vanessa Schneider"
"548","William Audureau"
"549","Damien Leloup"
"550","Abel Mestre"
"551","Alexandre Lemarié"
"552","Cédric Pietralunga"
"553","Sandrine Morel"
"554","Laurence Girard"
"555","Michel Guerrin"
"556","Alexandre Lemarié"
"557","Cécile Ducourtieux"
"558","Sarah Belouezzane"
"559","Bertrand Bissuel"
"560","Michel Noblecourt"
"561","Mathilde Damgé"
"562","Abel Mestre"
"563","Benoît Floc'h"
"564","Audrey Tonnelier"
"565","Anne-Françoise Hivert"
"566","Blaise Gauquelin"
"567","Jérôme Gautheret"
"568","Jean-Pierre Stroobants"
"569","Isabelle Piquer"
"570","Thomas Wieder"
"571","Jean-Baptiste Chastand"
"572","Nicolas Chapuis"
"573","Pierre Breteau"
"574","Patrick Roger"
"575","Patrick Roger"
"576","Olivier Faye"
"577","Grégoire Allix"
"578","Cédric Pietralunga"
"579","Isabelle Rey-Lefebvre"
"580","Raphaëlle Besse Desmoulières"
"581","Bertrand Bissuel"
"582","Alexandre Lemarié"
"583","Rémi Barroux"
"584","Alexandre Lemarié"
"585","Virginie Malingre"
"586","Jean-Pierre Stroobants"
"587","Sandrine Blanchard"
"588","Françoise Fressoz"
"589","Cécile Chambraud"
"590","Benoît Floc'h"
"591","Audrey Tonnelier"
"592","Anne Michel"
"593","Adrien Pécout"
"594","Virginie Malingre"
"595","Maxime Vaudano"
"596","Alexandre Lemarié"
"597","Clément Guillou"
"598","Adrien Pécout"
"599","Philippe Ridet"
"600","Rémi Barroux"
"601","Alexandre Lemarié"
"602","Denis Cosnard"
"603","Olivier Faye"
"604","Alexandre Lemarié"
"605","Abel Mestre"
"606","Lucie Soullier"
"607","Eric Albert"
"608","Olivier Faye"
"609","Audrey Tonnelier"
"610","Elise Barthet"
"611","Gérard Courtois"
"612","Marie Charrel"
"613","Françoise Fressoz"
"614","Abel Mestre"
"615","Cédric Pietralunga"
"616","Alexandre Lemarié"
"617","Abel Mestre"
"618","Benoît Floc'h"
"619","Audrey Tonnelier"
"620","Raphaëlle Besse Desmoulières"
"621","Pascale Santi"
"622","Lucie Soullier"
"623","Maxime Vaudano"
"624","Mathilde Damgé"
"625","Ariane Chemin"
"626","François Bougon"
"627","François Bougon"
"628","Cédric Pietralunga"
"629","Olivier Faye"
"630","Marc Semo"
"631","Alexandre Lemarié"
"632","Adrien Sénécat"
"633","Benoît Floc'h"
"634","Raphaëlle Besse Desmoulières"
"635","Violaine Morin"
"636","Nathalie Brafman"
"637","Cédric Pietralunga"
"638","Alexandre Lemarié"
"639","Alexandre Pouchard"
"640","Samuel Laurent"
"641","Mathilde Damgé"
"642","Yann Bouchez"
"643","Philippe Escande"
"644","Olivier Faye"
"645","Audrey Tonnelier"
"646","Marc Semo"
"647","Abel Mestre"
"648","Jean-Michel Bezat"
"649","Rémi Barroux"
"650","Pierre Le Hir"
"651","Martine Valo"
"652","Olivier Faye"
"653","Cédric Pietralunga"
"654","Solenn de Royer"
"655","Maxime Vaudano"
"656","Adrien Sénécat"
"657","Audrey Tonnelier"
"658","Benoît Floc'h"
"659","Anne-Aël Durand"
"660","Philippe Escande"
"661","Raphaëlle Besse Desmoulières"
"662","Benoît Floc'h"
"663","Alexandre Lemarié"
"664","Patrick Roger"
"665","Alexandre Lemarié"
"666","Françoise Fressoz"
"667","Sophie Landrin"
"668","Simon Roger"
"669","Lucie Soullier"
"670","Jean-Baptiste Chastand"
"671","Cécile Ducourtieux"
"672","Cédric Pietralunga"
"673","Patrick Roger"
"674","Bastien Bonnefous"
"675","Abel Mestre"
"676","Rémi Barroux"
"677","Pierre Le Hir"
"678","Faustine Vincent"
"679","Pierre Breteau"
"680","Maxime Ferrer"
"681","Abel Mestre"
"682","Julien Bouissou"
"683","Elise Barthet"
"684","Raphaëlle Besse Desmoulières"
"685","Raphaëlle Besse Desmoulières"
"686","Benoît Floc'h"
"687","Audrey Tonnelier"
"688","Patrick Roger"
"689","Bastien Bonnefous"
"690","Rémi Barroux"
"691","Sophie Landrin"
"692","Simon Roger"
"693","Pierre Le Hir"
"694","Anne-Aël Durand"
"695","Alexandre Pouchard"
"696","Cédric Pietralunga"
"697","Jean-Baptiste Chastand"
"698","Adrien Sénécat"
"699","Jean-Michel Bezat"
"700","Raphaëlle Besse Desmoulières"
"701","Raphaëlle Besse Desmoulières"
"702","Benoît Floc'h"
"703","Raphaëlle Besse Desmoulières"
"704","Olivier Faye"
"705","Anne-Françoise Hivert"
"706","François Bougon"
"707","Marie Charrel"
"708","Abel Mestre"
"709","Cédric Pietralunga"
"710","Olivier Faye"
"711","Abel Mestre"
"712","Abel Mestre"
"713","Abel Mestre"
"714","Olivier Faye"
"715","Olivier Faye"
"716","Abel Mestre"
"717","Mouna El Mokhtari"
"718","François Béguin"
"719","Laurence Girard"
"720","Cédric Pietralunga"
"721","Benoît Floc'h"
"722","Cédric Pietralunga"
"723","Abel Mestre"
"724","Olivier Faye"
"725","Abel Mestre"
"726","Cédric Pietralunga"
"727","Lucie Soullier"
"728","Lucie Soullier"
"729","Adrien Sénécat"
"730","Cédric Pietralunga"
"731","Jérémie Lamothe"
"732","Abel Mestre"
"733","Benoît Floc'h"
"734","Raphaëlle Besse Desmoulières"
"735","Cédric Pietralunga"
"736","Benoît Floc'h"
"737","Olivier Faye"
"738","Olivier Faye"
"739","Olivier Faye"
"740","Blaise Gauquelin"
"741","Thomas Wieder"
"742","Anne-Françoise Hivert"
"743","Jérôme Gautheret"
"744","Philippe Bernard"
"745","Jean-Baptiste Chastand"
"746","Lucie Soullier"
"747","Sylvia Zappi"
"748","Jean-Pierre Stroobants"
"749","Olivier Faye"
"750","Jérôme Porier"
"751","Isabelle Rey-Lefebvre"
"752","Benoît Floc'h"
"753","Isabelle Rey-Lefebvre"
"754","Fabrice Lhomme"
"755","Gérard Davet"
"756","Olivier Faye"
"757","Fabrice Lhomme"
"758","Gérard Davet"
"759","Eric Albert"
"760","Pierre Le Hir"
"761","François Bougon"
"762","Olivier Faye"
"763","Olivier Faye"
"764","Fabrice Lhomme"
"765","Gérard Davet"
"766","Patricia Jolly"
"767","Samuel Laurent"
"768","Pierre Breteau"
"769","Sarah Belouezzane"
"770","Sarah Belouezzane"
"771","Samuel Laurent"
"772","Anne-Aël Durand"
"773","Mathilde Damgé"
"774","Jean-Pierre Stroobants"
"775","Olivier Faye"
"776","Bertrand Bissuel"
"777","Sarah Belouezzane"
"778","Jérôme Porier"
"779","Virginie Malingre"
"780","Béatrice Jérôme"
"781","Benoît Floc'h"
"782","Benoît Floc'h"
"783","Solenn de Royer"
"784","Olivier Faye"
"785","Sarah Belouezzane"
"786","Bertrand Bissuel"
"787","Virginie Malingre"
"788","Vanessa Schneider"
"789","Mathilde Damgé"
"790","Philippe Ridet"
"791","Bertrand Bissuel"
"792","Sarah Belouezzane"
"793","Adrien Sénécat"
"794","Mathilde Damgé"
"795","Virginie Malingre"
"796","Bertrand Bissuel"
"797","Isabelle Rey-Lefebvre"
"798","Manon Rescan"
"799","Béatrice Gurrey"
"800","Bertrand Bissuel"
"801","Mathilde Damgé"
"802","Elise Vincent"
"803","Olivier Faye"
"804","Sarah Belouezzane"
"805","Manon Rescan"
"806","Manon Rescan"
"807","Solenn de Royer"
"808","Michel Noblecourt"
"809","Sarah Belouezzane"
"810","Olivier Faye"
"811","Manon Rescan"
"812","Jean-Philippe Rémy"
"813","Raphaëlle Bacqué"
"814","Virginie Malingre"
"815","Manon Rescan"
"816","Olivier Faye"
"817","Sarah Belouezzane"
"818","Olivier Faye"
"819","Virginie Malingre"
"820","Pascale Santi"
"821","Paul Benkimoun"
"822","Françoise Fressoz"
"823","Virginie Malingre"
"824","Manon Rescan"
"825","Raphaëlle Besse Desmoulières"
"826","Béatrice Gurrey"
"827","Matthieu Goar"
"828","Bertrand Bissuel"
"829","Emeline Cazi"
"830","Manon Rescan"
"831","Sarah Belouezzane"
"832","Antoine Schirer"
"833","Donald Walther"
"834","Jean-Baptiste Chastand"
"835","Elise Vincent"
"836","Manon Rescan"
"837","Benoît Floc'h"
"838","Elise Vincent"
"839","Virginie Malingre"
"840","Jean-Baptiste Chastand"
"841","Benoît Floc'h"
"842","Isabelle Rey-Lefebvre"
"843","Pascale Robert-Diard"
"844","Virginie Malingre"
"845","Charlotte Chabas"
"846","Gérard Davet"
"847","Fabrice Lhomme"
"848","Yann Bouchez"
"849","Thomas Wieder"
"850","Sandrine Morel"
"851","Sarah Belouezzane"
"852","Bertrand Bissuel"
"853","Jean-Baptiste Jacquin"
"854","Pascale Robert-Diard"
"855","Virginie Malingre"
"856","Manon Rescan"
"857","Virginie Malingre"
"858","Manon Rescan"
"859","Jérémie Baruch"
"860","Adrien Sénécat"
"861","Maxime Vaudano"
"862","Agathe Dahyot"
"863","Manon Rescan"
"864","Benoît Floc'h"
"865","Anne-Sophie Faivre Le Cadre"
"866","Ariane Chemin"
"867","Yves Bordenave"
"868","Caroline Monnot"
"869","Ariane Chemin"
"870","Manon Rescan"
"871","Virginie Malingre"
"872","Françoise Fressoz"
"873","Gaïdz Minassian"
"874","Maxime Vaudano"
"875","Adrien Sénécat"
"876","Louise Couvelaire"
"877","Béatrice Jérôme"
"878","Bertrand Bissuel"
"879","Yves Bordenave"
"880","Virginie Malingre"
"881","Simon Piel"
"882","Soren Seelow"
"883","Julia Pascual"
"884","Manon Rescan"
"885","Françoise Fressoz"
"886","Virginie Malingre"
"887","Manon Rescan"
"888","Manon Rescan"
"889","Cédric Pietralunga"
"890","Ariane Chemin"
"891","Ariane Chemin"
"892","Cédric Pietralunga"
"893","Manon Rescan"
"894","Virginie Malingre"
"895","Jean Birnbaum"
"896","Vanessa Schneider"
"897","Alexandre Lemarié"
"898","Manon Rescan"
"899","Marc-Olivier Bherer"
"900","Marc-Olivier Bherer"
"901","Marc-Olivier Bherer"
"902","Marc-Olivier Bherer"
"903","Louise Couvelaire"
"904","Lucie Soullier"
"905","Solenn de Royer"
"906","Ariane Chemin"
"907","Cédric Pietralunga"
"908","Ariane Chemin"
"909","Lucie Soullier"
"910","Audrey Tonnelier"
"911","Nathalie Guibert"
"912","Adrien Sénécat"
"913","Bertrand Bissuel"
"914","Raphaëlle Besse Desmoulières"
"915","Jean-Baptiste Jacquin"
"916","Audrey Tonnelier"
"917","Anne Rodier"
"918","Alexandre Lemarié"
"919","Manon Rescan"
"920","Manon Rescan"
"921","Alexandre Lemarié"
"922","Béatrice Jérôme"
"923","Béatrice Jérôme"
"924","Louise Couvelaire"
"925","Bertrand Bissuel"
"926","Audrey Tonnelier"
"927","Simon Piel"
"928","Alexandre Lemarié"
"929","Raphaëlle Besse Desmoulières"
"930","Bertrand Bissuel"
"931","Cédric Pietralunga"
"932","Françoise Fressoz"
"933","Grégoire Allix"
"934","Grégoire Allix"
"935","Bertrand Bissuel"
"936","Elise Vincent"
"937","Cédric Pietralunga"
"938","Nathalie Guibert"
"939","Vanessa Schneider"
"940","Patrick Roger"
"941","Béatrice Jérôme"
"942","Alexandre Lemarié"
"943","Patrick Roger"
"944","Audrey Tonnelier"
"945","Manon Rescan"
"946","Audrey Tonnelier"
"947","Audrey Tonnelier"
"948","Elise Barthet"
"949","Louise Couvelaire"
"950","Olivier Faye"
"951","Raphaëlle Besse Desmoulières"
"952","Bertrand Bissuel"
"953","Audrey Tonnelier"
"954","Nicole Vulser"
"955","Cédric Pietralunga"
"956","Soazig Le Nevé"
"957","Manon Rescan"
"958","Manon Rescan"
"959","Michel Noblecourt"
"960","Alexandre Piquard"
"961","Sylvia Zappi"
"962","Alexandre Pouchard"
"963","Sarah Belouezzane"
"964","Bertrand Bissuel"
"965","Isabelle Rey-Lefebvre"
"966","Françoise Fressoz"
"967","Cédric Pietralunga"
"968","Manon Rescan"
"969","Alexandre Lemarié"
"970","Philippe Escande"
"971","Philippe Ricard"
"972","Jean-Michel Bezat"
"973","Gérard Courtois"
"974","Simon Piel"
"975","Lucie Soullier"
"976","Stéphane Foucart"
"977","Virginie Malingre"
"978","Françoise Fressoz"
"979","Cédric Pietralunga"
"980","Virginie Malingre"
"981","Olivier Faye"
"982","Patrick Roger"
"983","Manon Rescan"
"984","Alexandre Lemarié"
"985","Simon Roger"
"986","Luc Cédelle"
"987","Alexandre Lemarié"
"988","Abel Mestre"
"989","Gaëlle Dupont"
"990","Audrey Tonnelier"
"991","Béatrice Jérôme"
"992","Isabelle Rey-Lefebvre"
"993","Stéphane Mandard"
"994","François Béguin"
"995","Virginie Malingre"
"996","Lucie Soullier"
"997","Abel Mestre"
